column_label,item_code,source_item_code,item_type,variable_name,description,source
Higher Ed-Construct,F18,F18,item,HiEd_Con,Construction,historical_user_guide
Higher Ed-IG To St,L18,L18,item,HiEd_IGS,To state government,historical_user_guide
Higher Ed-IG-Loc Govts,M18,M18,item,HiEd_IGL,"To local governments, total (includes N18, O18, P18, Q18, and R18)",historical_user_guide
Educ-NEC-Total Expend,OthEd_Tot,-21,subtotal,OthEd_Tot,"Education, NEC, Total",historical_user_guide
Educ-NEC-Direct Expend,OthEd_Dir,-21,subtotal,OthEd_Dir,Direct expenditure,historical_user_guide
Educ-NEC-Assistance,educ_nec_assistance,J19,item,OthEd_Asst,Assistance and subsidies,historical_user_guide
Educ-NEC-Cap Outlay,OthEd_Cap,DDD,derived,OthEd_Cap,Capital outlays,historical_user_guide
Educ-NEC-Construction,F21,F21,item,OthEd_Con,Construction,historical_user_guide
Educ-NEC-IG To State,L21,L21,item,OthEd_IGS,To state government,historical_user_guide
Educ-NEC-IG-Local Govts,M21,M21,item,OthEd_IGL,"To local governments, total (includes N21, O21, P21, Q21, and R21)",historical_user_guide
Emp Sec Adm-Direct Exp,EmpSec_Tot,-22,subtotal,EmpSec_Tot,"Employment Security Admin., Total (for Fed Govt, includes IG expend)",historical_user_guide
Emp Sec Adm-Cap Outlay,EmpSec_Cap,DDD,derived,EmpSec_Cap,Capital outlays,historical_user_guide
Emp Sec Adm-Construct,F22,F22,item,EmpSec_Con,Construction,historical_user_guide
Fin Admin-Total Exp,FinAdm_Tot,-23,subtotal,FinAdm_Tot,"Financial Administration, Total",historical_user_guide
Fin Admin-Direct Exp,FinAdm_Dir,-23,subtotal,FinAdm_Dir,Direct expenditure,historical_user_guide
Fin Admin-Cap Outlay,FinAdm_Cap,DDD,derived,FinAdm_Cap,Capital outlays,historical_user_guide
Fin Admin-Construction,F23,F23,item,FinAdm_Con,Construction,historical_user_guide
Fin Admin-IG To State,L23,L23,item,FinAdm_IGS,To state government,historical_user_guide
Fin Admin-IG-Local Govts,M23,M23,item,FinAdm_IGL,"To local governments, total (includes N23, O23, P23, and R23)",historical_user_guide
Fire Prot-Total Expend,Fire_Tot,-24,subtotal,Fire_Tot,"Fire Protection, Total",historical_user_guide
Fire Prot-Direct Exp,Fire_Dir,-24,subtotal,Fire_Dir,Direct expenditure,historical_user_guide
Fire Prot-Cap Outlay,Fire_Cap,DDD,derived,Fire_Cap,Capital outlays,historical_user_guide
Fire Prot-Construction,F24,F24,item,Fire_Con,Construction,historical_user_guide
Fire Prot-IG To State,L24,L24,item,Fire_IGS,To state government,historical_user_guide
Fire Prot-IG-Local Govts,M24,M24,item,Fire_IGL,"To local governments, total (includes N24, O24, P24, and R24)",historical_user_guide
Judicial-Total Expend,Judic_Tot,-25,subtotal,Judic_Tot,"Judicial and Legal, Total",historical_user_guide
Judicial-Direct Expend,Judic_Dir,-25,subtotal,Judic_Dir,Direct expenditure,historical_user_guide
Judicial-Cap Outlay,Judic_Cap,DDD,derived,Judic_Cap,Capital outlays,historical_user_guide
Judicial-Construction,F25,F25,item,Judic_Con,Construction,historical_user_guide
Judicial-IG To State,L25,L25,item,Judic_IGS,To state government,historical_user_guide
Judicial-IG-Local Govts,M25,M25,item,Judic_IGL,"To local governments, total (includes N25, O25, P25, and R25)",historical_user_guide
Cen Staff-Total Expend,CStaff_Tot,-29,subtotal,CStaff_Tot,"Central Staff Services, Total (includes any Legislative Activities, code -26)",historical_user_guide
Cen Staff-Direct Exp,CStaff_Dir,-29,subtotal,CStaff_Dir,Direct expenditure,historical_user_guide
Cen Staff-Cap Outlay,CStaff_Cap,DDD,derived,CStaff_Cap,Capital outlays,historical_user_guide
Cen Staff-Construction,F29,F29,item,CStaff_Con,Construction,historical_user_guide
Cen Staff-IG To State,L29,L29,item,CStaff_IGS,To state government,historical_user_guide
Cen Staff-IG-Local Govts,M29,M29,item,CStaff_IGL,"To local governments, total (includes N29, O29, P29, and R29)",historical_user_guide
Gen Pub Bldg-Total Exp,GenBld_Tot,-31,subtotal,GenBld_Tot,"General Public Buildings, Total",historical_user_guide
Gen Pub Bldg-Cap Out,GenBld_Cap,DDD,derived,GenBld_Cap,Capital outlays,historical_user_guide
Gen Pub Bldg-Construct,F31,F31,item,GenBld_Con,Construction,historical_user_guide
Health-Total Expend,Health_Tot,-32,subtotal,Health_Tot,"Health, Total",historical_user_guide
Health-Direct Expend,Health_Dir,-32,subtotal,Health_Dir,Direct expenditure,historical_user_guide
Health-Capital Outlay,Health_Cap,DDD,derived,Health_Cap,Capital outlays,historical_user_guide
Health-Construction,F32,F32,item,Health_Con,Construction,historical_user_guide
Health-IG To State,L32,L32,item,Health_IGS,To state government,historical_user_guide
Health-IG-Local Govts,M32,M32,item,Health_IGL,"To local governments, total (includes N32, O32, P32, and R32)",historical_user_guide
Total Hospital-Total Exp,Hosp_Tot,DDD,derived,Hosp_Tot,"Total Hospitals, Total",historical_user_guide
Total Hospital-Dir Exp,Hosp_Dir,DDD,derived,Hosp_Dir,Direct expenditure,historical_user_guide
Total Hospital-Cap Out,Hosp_Cap,DDD,derived,Hosp_Cap,Capital Outlays,historical_user_guide
Total Hospital-Construct,Hosp_Con,DDD,derived,Hosp_Con,Construction,historical_user_guide
Total Hospital-IG To State,total_hospital_ig_to_state,L38,item,OthHos_IGS,To state government,historical_user_guide
Total Hospital-IG-Loc Govts,total_hospital_ig_loc_govts,M38,item,OthHos_IGL,"To local governments, total (includes N38, O38, P38, and R38)",historical_user_guide
Own Hospital-Total Exp,OwnHos_Tot,-36,subtotal,OwnHos_Tot,"Own Hospitals, Total",historical_user_guide
Own Hospital-Cap Out,OwnHos_Cap,DDD,derived,OwnHos_Cap,Capital outlays,historical_user_guide
Own Hospital-Construct,F36,F36,item,OwnHos_Con,Construction,historical_user_guide
Hosp-Other-Total Exp,OthHos_Tot,-38,subtotal,OthHos_Tot,"Other Hospitals, Total",historical_user_guide
Hosp-Other-Direct Exp,OthHos_Dir,-38,subtotal,OthHos_Dir,Direct expenditure,historical_user_guide
Hosp-Other-Cap Outlay,OthHos_Cap,DDD,derived,OthHos_Cap,Capital outlays,historical_user_guide
Hosp-Other-Construct,F38,F38,item,OthHos_Con,Construction,historical_user_guide
Hosp-Other-IG To State,hosp_other_ig_to_state,L38,item,OthHos_IGS,To state government,historical_user_guide
Hosp-Other-IG-Loc Govts,hosp_other_ig_loc_govts,M38,item,OthHos_IGL,"To local governments, total (includes N38, O38, P38, and R38)",historical_user_guide
Total Highways-Tot Exp,TotHwy_Tot,DDD,derived,TotHwy_Tot,"Total Highways, Total (sum of highway codes -44 and -45)",historical_user_guide
Total Highways-Dir Exp,TotHwy_Dir,DDD,derived,TotHwy_Dir,Direct Expenditure,historical_user_guide
Total Highways-Cap Out,TotHwy_Cap,DDD,derived,TotHwy_Cap,Capital outlays,historical_user_guide
Total Highways-Construct,TotHwy_Con,DDD,derived,TotHwy_Con,Construction,historical_user_guide
Regular Hwy-Total Exp,RegHwy_Tot,-44,subtotal,RegHwy_Tot,"Regular Highways, Total (includes -45, Toll Highways, prior to FY 1977)",historical_user_guide
Regular Hwy-Direct Exp,RegHwy_Dir,-44,subtotal,RegHwy_Dir,Direct expenditure,historical_user_guide
Regular Hwy-Cap Outlay,RegHwy_Cap,DDD,derived,RegHwy_Cap,Capital outlays,historical_user_guide
Regular Hwy-Construct,F44,F44,item,RegHwy_Con,Construction,historical_user_guide
Regular Hwy-IG To Sta,L44,L44,item,RegHwy_IGS,To state government,historical_user_guide
Regular Hwy-IG-Loc Govts,M44,M44,item,RegHwy_IGL,"To local governments, total (includes N44, O44, P44, and R44)",historical_user_guide
Toll Hwy-Total Expend,TolHwy_Tot,-45,subtotal,TolHwy_Tot,"Toll Highways, Total  (included in Regular Highways prior to FY 1977)",historical_user_guide
Toll Hwy-Cap Outlay,TolHwy_Cap,DDD,derived,TolHwy_Cap,Capital outlays,historical_user_guide
Toll Hwy-Construction,F45,F45,item,TolHwy_Con,Construction,historical_user_guide
Transit Sub-Total Exp,TranSb_Tot,-47,subtotal,TranSb_Tot,"Transit Subsidies, Total",historical_user_guide
Transit Sub-Direct Sub,E47,E47,item,TranSb_Dir,Direct subsidies to private transit companies,historical_user_guide
Transit Sub-IG To Sta,L47,L47,item,TranSb_IGS,To state government (includes L94),historical_user_guide
Transit Sub-IG-Loc Govts,M47,M47,item,TranSb_IGL,"To local governments, total (includes N47, O47, P47, R47, and M94)",historical_user_guide
Transit Sub-To Own Sys,Z61,Z61,item,TranSb_Own,Exhibit: Contribution to own transit system,historical_user_guide
Hous & Com-Total Exp,HoCD_Tot,-50,subtotal,HoCD_Tot,"Housing and Community Development, Total",historical_user_guide
Hous & Com-Direct Exp,HoCD_Dir,-50,subtotal,HoCD_Dir,Direct expenditure,historical_user_guide
Hous & Com-Cap Outlay,HoCD_Cap,DDD,derived,HoCD_Cap,Capital outlays,historical_user_guide
Hous & Com-Construct,F50,F50,item,HoCD_Con,Construction,historical_user_guide
Hous & Com-IG To State,L50,L50,item,HoCD_IGS,To state government,historical_user_guide
Hous & Com-IG-Loc Govts,M50,M50,item,HoCD_IGL,"To local governments, total (includes N50, O50, P50, and R50)",historical_user_guide
Libraries-Total Expend,Libry_Tot,-52,subtotal,Libry_Tot,"Libraries, Total",historical_user_guide
Libraries-Direct Exp,Libry_Dir,-52,subtotal,Libry_Dir,Direct expenditure,historical_user_guide
Libraries-Cap Outlay,Libry_Cap,DDD,derived,Libry_Cap,Capital outlays,historical_user_guide
Libraries-Construction,F52,F52,item,Libry_Con,Construction,historical_user_guide
Libraries-IG To State,L52,L52,item,Libry_IGS,To state government,historical_user_guide
Libraries-IG-Local Govts,M52,M52,item,Libry_IGL,"To local governments, total (includes N52, O52, P52, and R52)",historical_user_guide
Natural Res-Total Exp,NatRes_Tot,-59,subtotal,NatRes_Tot,"Natural Resources, Total",historical_user_guide
Natural Res-Direct Exp,NatRes_Dir,-59,subtotal,NatRes_Dir,Direct expenditure,historical_user_guide
Natural Res-Cap Outlay,NatRes_Cap,DDD,derived,NatRes_Cap,Capital outlays,historical_user_guide
Natural Res-Construct,F59,F59,item,NatRes_Con,Construction,historical_user_guide
Natural Res-IG To Sta,L59,L59,item,NatRes_IGS,To state government,historical_user_guide
Natural Res-IG-Loc Govts,M59,M59,item,NatRes_IGL,"To local governments, total (includes N59, O59, P59, and R59)",historical_user_guide
Parking-Total Expend,Parkg_Tot,-60,subtotal,Parkg_Tot,"Parking Facilities, Total",historical_user_guide
