CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
72107020,10,721070,3761,3761,03,67431,240,3000,2410,1506,"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, revestidos de plásticos","Lamin.hierro/acero, a>=6dm, revestidos de plásticos","Rolled iron/steel, w>=6dm, coated with plastic"
72109000,10,721090,3761,3761,03,67444,240,3000,2410,1506,"Outros produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, ou revestidos","Ots.lamin.hierro/acero, a>=6dm, chapados/revestidos","Oth.rolled iron/steel, w>=6dm, clad/plated/coated"
61045100,11,610451,3499,3990,03,84425,321,4000,1410,1602,"Saias e saias-calças, de malha, de lã ou de pelos finos","Faldas y faldas pantalón, de punto de lana o pelo fino","Skirts/divided skirts, of mesh of wool/fine animal hair"
61045200,11,610452,3499,3990,03,84425,321,4000,1410,1602,"Saias e saias-calças, de malha, de algodão","Faldas y faldas pantalón, de punto de algodón","Skirts/divided skirts, of cotton mesh"
61045300,11,610453,3499,3990,03,84425,321,4000,1410,1602,"Saias e saias-calças, de malha, de fibras sintéticas","Faldas y faldas pantalón, de punto de fibras sintéticas","Skirts/divided skirts, of synthetic fibres mesh"
61045900,11,610459,3499,3990,03,84425,321,4000,1410,1602,"Saias e saias-calças, de malha, de outras matérias têxteis","Faldas y faldas pantalón, de punto de ots.mat.textiles","Skirts/divided skirts, of oth.textile materials mesh"
61046100,11,610461,3499,3990,03,84426,321,4000,1410,1602,"Calças, jardineiras, bermudas e shorts (calções), de malha, de lã ou pelos finos, uso feminino","Pantalones largos, etc.de punto de lana/p.fino, p/mujeres","Trousers, etc.of mesh of wool/fine anim.hair, femin.uses"
61046200,11,610462,3499,3990,03,84426,321,4000,1410,1602,"Calças, jardineiras, bermudas e shorts (calções), de malha, de algodão, de uso feminino","Pantalones largos, etc.de punto de algodón, para mujeres","Trousers, etc.of cotton mesh, feminnine uses"
61046300,11,610463,3499,3990,03,84426,321,4000,1410,1602,"Calças, jardineiras, bermudas e shorts (calções), de malha, de fibras sintéticas, uso feminino","Pantalones largos, etc.de punto de fibras sint, p/mujeres","Trousers, etc.of synthetic fibres mesh, feminnine uses"
61046900,11,610469,3499,3990,03,84426,321,4000,1410,1602,"Calças, jardineiras, bermudas e shorts (calções), de malha, de outras matérias têxteis, uso feminino","Pantalones largos, etc.de punto de ots.mat.tex, p/mujeres","Trousers, etc.of mesh of ot.text.materials, feminn.uses"
61051000,11,610510,3497,3990,03,84371,321,4000,1410,1602,"Camisas de malha, de uso masculino, de algodão","Camisas de punto de algodón, para hombres","Shirts, etc.of cotton mesh, masculine uses"
61052000,11,610520,3497,3990,03,84379,321,4000,1410,1602,"Camisas de malha, de uso masculino, de fibras sintéticas ou artificiais","Camisas de punto de fibra sintética/artif., para hombres","Shirts, etc.of synth/artific fibres mesh, masculine uses"
