id_tabela,nome_coluna,chave,cobertura_temporal,valor
staff,state_id,55,,Wisconsin
staff,state_id,56,,Wyoming
staff,state_id,58,,Department of Defense Dependent Schools (overseas)
staff,state_id,59,,Bureau of Indian Education
staff,state_id,60,,American Samoa
staff,state_id,61,,Department of Defense Dependent Schools (domestic)
staff,state_id,63,,Department of Defense Education Activity
staff,state_id,64,,Federated States of Micronesia
staff,state_id,65,,Mariana Islands waters (including Guam)
staff,state_id,66,,Guam
staff,state_id,67,,Johnston Atoll
staff,state_id,68,,Marshall Islands
staff,state_id,69,,Northern Mariana Islands
staff,state_id,70,,Palau
staff,state_id,71,,Midway Islands
staff,state_id,72,,Puerto Rico
staff,state_id,74,,US Minor Outlying Islands
staff,state_id,75,,"Atlantic coast from North Carolina to Florida, and the coasts of Puerto Rico and Virgin Islands"
staff,state_id,76,,Navassa Island
staff,state_id,78,,Virgin Islands of the US
staff,state_id,79,,Wake Island
staff,state_id,81,,Baker Island
staff,state_id,84,,Howland Island
staff,state_id,86,,Jarvis Island
staff,state_id,89,,Kingman Reef
staff,state_id,95,,Palmyra Atoll
staff,staff_category,teachers_prek,,Prekindergarten teachers
staff,staff_category,teachers_kindergarten,,Kindergarten teachers
staff,staff_category,teachers_elementary,,Elementary school teachers
staff,staff_category,teachers_secondary,,Secondary school teachers
staff,staff_category,teachers_ungraded,,Ungraded teachers
staff,staff_category,teachers_total,,All teachers
staff,staff_category,instructional_aides,,Instructional aides and paraprofessionals
staff,staff_category,coordinators,,Instructional coordinators and supervisors
staff,staff_category,guidance_counselors_elementary,,Elementary school guidance counselors
staff,staff_category,guidance_counselors_secondary,,Secondary school guidance counselors
staff,staff_category,guidance_counselors_other,,Other guidance counselors
staff,staff_category,guidance_counselors_total,,All guidance counselors
staff,staff_category,school_counselors,,School counselors
staff,staff_category,school_psychologists,,School psychologists
staff,staff_category,librarian_specialists,,Librarians and media specialists
staff,staff_category,librarian_support_staff,,Library and media support staff
staff,staff_category,lea_administrators,,Local education agency administrators
staff,staff_category,lea_admin_support_staff,,Local education agency administrative support staff
staff,staff_category,lea_staff_total,,All staff based at the local education agency
staff,staff_category,school_administrators,,School administrators
staff,staff_category,school_admin_support_staff,,School administrative support staff
staff,staff_category,school_staff_total,,All staff based at schools
staff,staff_category,support_staff_students,,Student support services staff
staff,staff_category,support_staff_students_without_psychologists,,"Student support services staff, excluding psychologists"
staff,staff_category,support_staff_other,,Other support services staff
staff,staff_category,other_staff,,Other staff
staff,staff_category,staff_total,,All staff
district_finance,state_id,01,,Alabama
district_finance,state_id,02,,Alaska
district_finance,state_id,03,,American Samoa
district_finance,state_id,04,,Arizona
district_finance,state_id,05,,Arkansas
district_finance,state_id,06,,California
district_finance,state_id,07,,Canal Zone
district_finance,state_id,08,,Colorado
district_finance,state_id,09,,Connecticut
district_finance,state_id,10,,Delaware
district_finance,state_id,11,,District of Columbia
district_finance,state_id,12,,Florida
district_finance,state_id,13,,Georgia
district_finance,state_id,14,,Guam
district_finance,state_id,15,,Hawaii
district_finance,state_id,16,,Idaho
district_finance,state_id,17,,Illinois
district_finance,state_id,18,,Indiana
district_finance,state_id,19,,Iowa
district_finance,state_id,20,,Kansas
district_finance,state_id,21,,Kentucky
district_finance,state_id,22,,Louisiana
district_finance,state_id,23,,Maine
district_finance,state_id,24,,Maryland
district_finance,state_id,25,,Massachusetts
district_finance,state_id,26,,Michigan
district_finance,state_id,27,,Minnesota
district_finance,state_id,28,,Mississippi
district_finance,state_id,29,,Missouri
district_finance,state_id,30,,Montana
district_finance,state_id,31,,Nebraska
district_finance,state_id,32,,Nevada
district_finance,state_id,33,,New Hampshire
district_finance,state_id,34,,New Jersey
district_finance,state_id,35,,New Mexico
district_finance,state_id,36,,New York
district_finance,state_id,37,,North Carolina
district_finance,state_id,38,,North Dakota
district_finance,state_id,39,,Ohio
district_finance,state_id,40,,Oklahoma
district_finance,state_id,41,,Oregon
district_finance,state_id,42,,Pennsylvania
district_finance,state_id,43,,Puerto Rico
district_finance,state_id,44,,Rhode Island
district_finance,state_id,45,,South Carolina
district_finance,state_id,46,,South Dakota
district_finance,state_id,47,,Tennessee
district_finance,state_id,48,,Texas
district_finance,state_id,49,,Utah
district_finance,state_id,50,,Vermont
district_finance,state_id,51,,Virginia
district_finance,state_id,52,,Virgin Islands of the US
district_finance,state_id,53,,Washington
district_finance,state_id,54,,West Virginia
district_finance,state_id,55,,Wisconsin
district_finance,state_id,56,,Wyoming
district_finance,state_id,58,,Department of Defense Dependent Schools (overseas)
district_finance,state_id,59,,Bureau of Indian Education
district_finance,state_id,60,,American Samoa
district_finance,state_id,61,,Department of Defense Dependent Schools (domestic)
district_finance,state_id,63,,Department of Defense Education Activity
district_finance,state_id,64,,Federated States of Micronesia
district_finance,state_id,65,,Mariana Islands waters (including Guam)
district_finance,state_id,66,,Guam
district_finance,state_id,67,,Johnston Atoll
district_finance,state_id,68,,Marshall Islands
district_finance,state_id,69,,Northern Mariana Islands
district_finance,state_id,70,,Palau
district_finance,state_id,71,,Midway Islands
district_finance,state_id,72,,Puerto Rico
district_finance,state_id,74,,US Minor Outlying Islands
district_finance,state_id,75,,"Atlantic coast from North Carolina to Florida, and the coasts of Puerto Rico and Virgin Islands"
district_finance,state_id,76,,Navassa Island
district_finance,state_id,78,,Virgin Islands of the US
district_finance,state_id,79,,Wake Island
district_finance,state_id,81,,Baker Island
district_finance,state_id,84,,Howland Island
district_finance,state_id,86,,Jarvis Island
district_finance,state_id,89,,Kingman Reef
district_finance,state_id,95,,Palmyra Atoll
